"1","Me gusto"
"1","Me Agrada"
"1","Un placer conocerte"
"1","Un placer conocerlos"
"1","Ha sido todo un placer conocerlos"
"1","Me gusto la comida"
"1","Me agrada el clima"
"2","Yo abandone a las abejas"
"2","Yo coloque el abanico"
"1","Fue todo un placer conocerlos"
"1","Me agrado hacerlos conocidos"
"1","Me gusto conocerte"
"1","Me gusto la pelicula"
"1","Me agrado la pelicula"
"2","Abandone la pelicula"
"1","Este dia ha sido un placer conocerlos"
"2","Este dia he tenido que apagar el abanico"
"2","Hoy hace mucho calor"
"1","Buenos dias"
"1","Buenas tardes"
"1","Buenas noches"
"1","Que tengas buenos dias"
"1","Que tengas buenas tardes"
"1","Que tengas buenas noches"
"2","Espero que tengas abejas por que de otra manera no funcionara"
"2","Lamento llegar tarde"
"2","Creo que he llegado a tiempo"
"1","Que tengan buenas noches que ya se ha hecho tarde"
"2","Empezaremos en una hora"
"2","Mira el tiempo"
